Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,Sleephours,Sedentary time,Idlehours,TotalActive,Activehours,betteractivehours,TotalTimeInBed
7007744171,01-05-2016,1,58,1.0,1142.0,19.0,237.0,4.0,0.0,61
4319703577,21-04-2016,1,59,1.0,1265.0,21.1,34.0,0.6,0.0,65
2320127002,23-04-2016,1,61,1.0,1129.0,18.8,242.0,4.0,0.0,69
4388161847,09-05-2016,1,62,1.0,1020.0,17.0,283.0,4.7,0.4,65
5577150313,05-05-2016,1,74,1.2,1153.0,19.2,209.0,3.5,1.1,78
8053475328,07-05-2016,1,74,1.2,1076.0,17.9,289.0,4.8,2.4,75
4020332650,16-04-2016,1,77,1.3,1222.0,20.4,141.0,2.4,1.4,77
7007744171,16-04-2016,1,79,1.3,1155.0,19.3,203.0,3.4,0.0,82
4388161847,22-04-2016,1,82,1.4,945.0,15.8,322.0,5.4,1.7,85
4445114986,17-04-2016,1,98,1.6,1219.0,20.3,114.0,1.9,0.0,107
4388161847,18-04-2016,1,99,1.7,1017.0,17.0,274.0,4.6,0.6,104
4558609924,26-04-2016,1,103,1.7,1062.0,17.7,336.0,5.6,0.9,121
4445114986,29-04-2016,1,106,1.8,1106.0,18.4,226.0,3.8,0.0,108
4558609924,01-05-2016,1,115,1.9,1121.0,18.7,190.0,3.2,0.0,129
1644430081,29-04-2016,1,119,2.0,1193.0,19.9,120.0,2.0,0.0,127
4558609924,08-05-2016,1,123,2.1,1019.0,17.0,339.0,5.7,1.7,134
1644430081,30-04-2016,1,124,2.1,816.0,13.6,482.0,8.0,1.3,142
4558609924,21-04-2016,1,126,2.1,844.0,14.1,459.0,7.7,0.5,137
1644430081,08-05-2016,1,137,2.3,991.0,16.5,295.0,4.9,0.0,154
3977333714,20-04-2016,2,152,2.5,845.0,14.1,264.0,4.4,1.7,305
1927972279,28-04-2016,1,166,2.8,1167.0,19.5,95.0,1.6,0.0,178
4558609924,29-04-2016,1,171,2.9,1096.0,18.3,241.0,4.0,0.7,179
3977333714,04-05-2016,1,213,3.6,852.0,14.2,252.0,4.2,1.8,336
3977333714,19-04-2016,1,219,3.7,738.0,12.3,307.0,5.1,1.4,395
4020332650,05-05-2016,1,226,3.8,916.0,15.3,276.0,4.6,1.3,248
3977333714,02-05-2016,1,230,3.8,713.0,11.9,343.0,5.7,2.8,384
3977333714,23-04-2016,1,235,3.9,724.0,12.1,344.0,5.7,1.5,372
6775888955,13-04-2016,1,235,3.9,1053.0,17.6,120.0,2.0,0.6,260
3977333714,30-04-2016,1,237,4.0,687.0,11.5,289.0,4.8,1.6,382
3977333714,07-05-2016,1,237,4.0,703.0,11.7,294.0,4.9,1.4,443
1503960366,26-04-2016,1,245,4.1,833.0,13.9,333.0,5.6,0.9,274
1503960366,05-05-2016,1,247,4.1,857.0,14.3,319.0,5.3,1.2,264
3977333714,26-04-2016,1,250,4.2,797.0,13.3,272.0,4.5,1.7,371
4702921684,15-04-2016,1,253,4.2,944.0,15.7,265.0,4.4,0.2,257
3977333714,08-05-2016,2,259,4.3,688.0,11.5,296.0,4.9,2.1,456
3977333714,28-04-2016,1,261,4.4,804.0,13.4,213.0,3.6,0.4,423
3977333714,25-04-2016,1,262,4.4,781.0,13.0,192.0,3.2,1.0,467
1503960366,03-05-2016,1,273,4.6,816.0,13.6,328.0,5.5,1.2,296
3977333714,12-04-2016,1,274,4.6,777.0,13.0,194.0,3.2,1.1,469
1503960366,25-04-2016,1,277,4.6,814.0,13.6,303.0,5.1,1.5,323
1503960366,02-05-2016,1,277,4.6,798.0,13.3,333.0,5.6,0.9,309
3977333714,16-04-2016,1,283,4.7,663.0,11.1,267.0,4.5,1.9,510
1503960366,11-05-2016,1,285,4.8,669.0,11.2,310.0,5.2,1.0,306
4319703577,27-04-2016,1,286,4.8,680.0,11.3,353.0,5.9,0.9,307
3977333714,14-04-2016,1,291,4.9,801.0,13.4,242.0,4.0,0.5,397
3977333714,03-05-2016,1,292,4.9,594.0,9.9,346.0,5.8,1.5,500
4702921684,18-04-2016,1,293,4.9,890.0,14.8,243.0,4.1,0.9,312
3977333714,13-04-2016,2,295,4.9,754.0,12.6,230.0,3.8,1.3,456
1927972279,26-04-2016,1,296,4.9,1058.0,17.6,192.0,3.2,0.0,315
6962181067,07-05-2016,1,298,5.0,745.0,12.4,328.0,5.5,0.0,334
4319703577,12-05-2016,1,302,5.0,0.0,0.0,2.0,0.0,0.0,321
1503960366,19-04-2016,1,304,5.1,775.0,12.9,345.0,5.8,1.4,320
3977333714,24-04-2016,1,310,5.2,660.0,11.0,254.0,4.2,2.1,526
3977333714,10-05-2016,1,312,5.2,676.0,11.3,312.0,5.2,1.9,452
3977333714,05-05-2016,1,318,5.3,680.0,11.3,280.0,4.7,1.7,480
4388161847,26-04-2016,1,319,5.3,673.0,11.2,261.0,4.4,0.6,346
4020332650,03-05-2016,1,322,5.4,950.0,15.8,174.0,2.9,0.0,332
4445114986,30-04-2016,1,322,5.4,797.0,13.3,290.0,4.8,0.0,353
5553957443,22-04-2016,1,322,5.4,781.0,13.0,311.0,5.2,0.7,353
7086361926,06-05-2016,1,322,5.4,834.0,13.9,273.0,4.6,2.0,333
3977333714,06-05-2016,1,323,5.4,676.0,11.3,252.0,4.2,1.4,512
8378563200,06-05-2016,1,323,5.4,831.0,13.9,245.0,4.1,1.3,355
1503960366,21-04-2016,1,325,5.4,838.0,14.0,238.0,4.0,0.5,364
1503960366,12-04-2016,1,327,5.5,728.0,12.1,366.0,6.1,0.6,346
4702921684,03-05-2016,1,327,5.5,729.0,12.2,313.0,5.2,0.0,373
4445114986,25-04-2016,1,328,5.5,916.0,15.3,179.0,3.0,0.0,345
4388161847,19-04-2016,1,329,5.5,704.0,11.7,285.0,4.8,0.6,338
1503960366,07-05-2016,1,331,5.5,833.0,13.9,258.0,4.3,1.4,349
8053475328,23-04-2016,1,331,5.5,741.0,12.4,362.0,6.0,2.3,337
3977333714,21-04-2016,1,332,5.5,712.0,11.9,242.0,4.0,0.0,512
4445114986,27-04-2016,1,332,5.5,839.0,14.0,227.0,3.8,0.6,374
3977333714,29-04-2016,1,333,5.6,744.0,12.4,218.0,3.6,1.1,478
1503960366,06-05-2016,1,334,5.6,754.0,12.6,319.0,5.3,0.5,367
6117666160,17-04-2016,2,336,5.6,702.0,11.7,312.0,5.2,0.0,350
4445114986,15-04-2016,2,337,5.6,711.0,11.9,350.0,5.8,0.0,379
4445114986,04-05-2016,2,337,5.6,897.0,15.0,180.0,3.0,0.0,363
1503960366,09-05-2016,1,338,5.6,835.0,13.9,263.0,4.4,1.0,342
5577150313,22-04-2016,1,338,5.6,823.0,13.7,292.0,4.9,1.5,366
8378563200,12-04-2016,1,338,5.6,723.0,12.1,236.0,3.9,1.3,356
8792009665,23-04-2016,1,339,5.7,795.0,13.3,285.0,4.8,0.9,360
1503960366,16-04-2016,2,340,5.7,773.0,12.9,267.0,4.5,0.8,367
1503960366,29-04-2016,1,341,5.7,815.0,13.6,271.0,4.5,0.5,354
8378563200,10-05-2016,1,342,5.7,840.0,14.0,228.0,3.8,1.3,391
8792009665,30-04-2016,1,343,5.7,749.0,12.5,331.0,5.5,0.5,360
5553957443,27-04-2016,1,347,5.8,745.0,12.4,238.0,4.0,0.5,391
3977333714,27-04-2016,1,349,5.8,714.0,11.9,186.0,3.1,0.2,540
5553957443,17-04-2016,1,350,5.8,943.0,15.7,46.0,0.8,0.0,402
8378563200,02-05-2016,1,351,5.9,802.0,13.4,209.0,3.5,1.1,385
4445114986,26-04-2016,2,353,5.9,839.0,14.0,210.0,3.5,0.5,391
6117666160,24-04-2016,1,353,5.9,711.0,11.9,362.0,6.0,0.0,367
4388161847,10-05-2016,1,354,5.9,648.0,10.8,294.0,4.9,0.5,375
4702921684,11-05-2016,1,354,5.9,784.0,13.1,286.0,4.8,0.9,366
5577150313,26-04-2016,1,354,5.9,759.0,12.7,251.0,4.2,1.2,377
7086361926,28-04-2016,1,354,5.9,810.0,13.5,263.0,4.4,1.7,367
3977333714,22-04-2016,1,355,5.9,731.0,12.2,233.0,3.9,0.8,476
2026352035,10-05-2016,1,357,6.0,1002.0,16.7,17.0,0.3,0.0,380
5553957443,14-04-2016,1,357,6.0,693.0,11.6,358.0,6.0,1.7,418
5553957443,19-04-2016,1,357,6.0,756.0,12.6,346.0,5.8,1.6,410
6962181067,16-04-2016,1,357,6.0,741.0,12.4,333.0,5.6,0.9,366
8378563200,09-05-2016,1,359,6.0,772.0,12.9,255.0,4.3,1.4,399
1503960366,20-04-2016,1,360,6.0,818.0,13.6,245.0,4.1,0.7,377
1503960366,23-04-2016,1,361,6.0,732.0,12.2,324.0,5.4,1.0,384
4445114986,08-05-2016,1,361,6.0,733.0,12.2,316.0,5.3,0.1,391
5577150313,28-04-2016,1,361,6.0,692.0,11.5,291.0,4.9,2.5,372
8792009665,15-04-2016,1,363,6.1,937.0,15.6,126.0,2.1,0.0,377
4020332650,08-05-2016,1,364,6.1,775.0,12.9,263.0,4.4,0.0,402
1503960366,28-04-2016,1,366,6.1,782.0,13.0,265.0,4.4,1.3,393
6962181067,12-04-2016,1,366,6.1,796.0,13.3,253.0,4.2,1.1,387
4388161847,02-05-2016,2,368,6.1,935.0,15.6,241.0,4.0,0.6,376
8378563200,11-05-2016,1,368,6.1,763.0,12.7,266.0,4.4,1.4,387
1503960366,01-05-2016,1,369,6.2,730.0,12.2,314.0,5.2,1.1,396
4445114986,13-04-2016,2,370,6.2,840.0,14.0,194.0,3.2,0.0,406
4702921684,25-04-2016,1,370,6.2,730.0,12.2,291.0,4.9,0.4,380
6962181067,15-04-2016,1,370,6.2,837.0,14.0,217.0,3.6,0.0,386
2347167796,23-04-2016,1,374,6.2,591.0,9.9,427.0,7.1,1.1,386
4445114986,06-05-2016,2,374,6.2,809.0,13.5,229.0,3.8,0.0,402
5553957443,15-04-2016,1,377,6.3,689.0,11.5,335.0,5.6,1.6,409
7086361926,15-04-2016,1,377,6.3,864.0,14.4,190.0,3.2,0.9,386
5577150313,01-05-2016,1,379,6.3,499.0,8.3,444.0,7.4,4.4,398
5553957443,03-05-2016,1,380,6.3,812.0,13.5,302.0,5.0,0.9,429
6117666160,16-04-2016,1,380,6.3,502.0,8.4,540.0,9.0,0.4,398
3977333714,17-04-2016,1,381,6.4,600.0,10.0,274.0,4.6,1.2,566
8378563200,20-04-2016,1,381,6.4,763.0,12.7,259.0,4.3,1.5,409
8378563200,05-05-2016,1,381,6.4,764.0,12.7,283.0,4.7,1.2,417
4702921684,16-04-2016,2,382,6.4,556.0,9.3,362.0,6.0,0.5,406
1503960366,10-05-2016,1,383,6.4,746.0,12.4,291.0,4.9,1.3,403
3977333714,01-05-2016,1,383,6.4,691.0,11.5,205.0,3.4,1.4,626
1503960366,13-04-2016,2,384,6.4,776.0,12.9,257.0,4.3,0.7,407
4702921684,14-04-2016,1,384,6.4,772.0,12.9,271.0,4.5,0.0,415
5577150313,23-04-2016,1,384,6.4,627.0,10.5,271.0,4.5,0.8,402
4020332650,06-05-2016,1,385,6.4,855.0,14.3,177.0,3.0,0.0,408
8378563200,19-04-2016,1,387,6.5,737.0,12.3,293.0,4.9,2.3,421
4445114986,19-04-2016,2,388,6.5,895.0,14.9,121.0,2.0,0.0,424
4445114986,22-04-2016,1,388,6.5,706.0,11.8,317.0,5.3,0.0,417
7086361926,01-05-2016,1,388,6.5,685.0,11.4,303.0,5.1,0.8,407
8378563200,25-04-2016,1,388,6.5,692.0,11.5,274.0,4.6,2.2,402
8378563200,25-04-2016,1,388,6.5,692.0,11.5,274.0,4.6,2.2,402
4388161847,04-05-2016,1,390,6.5,632.0,10.5,307.0,5.1,0.9,414
7086361926,21-04-2016,1,390,6.5,758.0,12.6,231.0,3.9,0.4,411
6775888955,15-04-2016,1,391,6.5,976.0,16.3,58.0,1.0,0.0,406
8792009665,22-04-2016,1,391,6.5,817.0,13.6,216.0,3.6,0.4,407
5577150313,15-04-2016,1,392,6.5,695.0,11.6,368.0,6.1,2.8,413
6117666160,05-05-2016,1,392,6.5,479.0,8.0,487.0,8.1,0.0,415
6117666160,28-04-2016,1,393,6.6,758.0,12.6,141.0,2.4,0.0,416
6962181067,03-05-2016,1,394,6.6,654.0,10.9,324.0,5.4,1.0,418
8378563200,21-04-2016,1,396,6.6,677.0,11.3,298.0,5.0,2.6,417
1927972279,13-04-2016,1,398,6.6,986.0,16.4,32.0,0.5,0.0,422
8378563200,18-04-2016,1,398,6.6,720.0,12.0,301.0,5.0,2.1,451
8792009665,29-04-2016,1,398,6.6,634.0,10.6,400.0,6.7,0.3,406
5553957443,21-04-2016,1,399,6.7,801.0,13.4,266.0,4.4,1.5,431
4702921684,13-04-2016,2,400,6.7,777.0,13.0,258.0,4.3,0.0,430
5553957443,06-05-2016,1,400,6.7,761.0,12.7,259.0,4.3,0.5,434
6962181067,25-04-2016,1,400,6.7,637.0,10.6,348.0,5.8,1.1,415
4445114986,07-05-2016,2,401,6.7,866.0,14.4,138.0,2.3,0.5,436
8792009665,28-04-2016,1,402,6.7,714.0,11.9,310.0,5.2,0.0,416
1503960366,30-04-2016,1,404,6.7,712.0,11.9,303.0,5.1,1.4,425
4702921684,06-05-2016,1,404,6.7,682.0,11.4,224.0,3.7,0.3,449
4702921684,12-05-2016,1,404,6.7,241.0,4.0,68.0,1.1,0.0,442
2347167796,22-04-2016,1,405,6.8,781.0,13.0,242.0,4.0,0.6,461
4445114986,10-05-2016,1,405,6.8,783.0,13.1,231.0,3.9,0.0,426
8378563200,03-05-2016,1,405,6.8,822.0,13.7,286.0,4.8,1.5,429
5577150313,16-04-2016,1,406,6.8,472.0,7.9,398.0,6.6,4.0,445
2347167796,28-04-2016,1,408,6.8,764.0,12.7,229.0,3.8,0.0,450
4388161847,30-04-2016,2,409,6.8,537.0,9.0,357.0,6.0,1.0,430
5553957443,02-05-2016,1,409,6.8,724.0,12.1,259.0,4.3,0.5,471
2347167796,29-04-2016,1,411,6.9,2.0,0.0,4.0,0.1,0.0,473
6962181067,01-05-2016,1,411,6.9,722.0,12.0,215.0,3.6,0.0,426
1503960366,15-04-2016,1,412,6.9,726.0,12.1,272.0,4.5,1.1,442
3977333714,18-04-2016,2,412,6.9,605.0,10.1,313.0,5.2,1.7,522
4702921684,04-05-2016,1,412,6.9,757.0,12.6,270.0,4.5,0.3,434
5553957443,26-04-2016,1,412,6.9,750.0,12.5,296.0,4.9,1.0,453
5577150313,30-04-2016,1,412,6.9,621.0,10.4,415.0,6.9,4.2,433
4702921684,05-05-2016,1,414,6.9,745.0,12.4,254.0,4.2,0.2,428
5577150313,21-04-2016,1,414,6.9,670.0,11.2,359.0,6.0,3.1,437
8792009665,02-05-2016,1,415,6.9,916.0,15.3,101.0,1.7,0.0,423
4702921684,10-05-2016,1,416,6.9,701.0,11.7,300.0,5.0,0.6,431
4445114986,03-05-2016,2,417,7.0,725.0,12.1,265.0,4.4,0.5,450
5553957443,10-05-2016,1,418,7.0,707.0,11.8,366.0,6.1,1.7,443
6962181067,20-04-2016,1,418,7.0,639.0,10.7,349.0,5.8,0.9,424
4445114986,28-04-2016,1,419,7.0,762.0,12.7,236.0,3.9,0.0,442
5553957443,05-05-2016,1,419,7.0,692.0,11.5,314.0,5.2,1.2,464
5577150313,12-04-2016,1,419,7.0,728.0,12.1,242.0,4.0,1.7,438
7086361926,04-05-2016,1,420,7.0,843.0,14.1,192.0,3.2,1.0,436
4388161847,20-04-2016,1,421,7.0,696.0,11.6,289.0,4.8,1.0,451
4702921684,26-04-2016,1,421,7.0,765.0,12.8,225.0,3.8,0.2,429
5553957443,28-04-2016,1,421,7.0,727.0,12.1,227.0,3.8,1.0,457
5577150313,25-04-2016,1,421,7.0,743.0,12.4,313.0,5.2,1.7,461
6962181067,30-04-2016,1,422,7.0,731.0,12.2,285.0,4.8,0.8,424
6775888955,14-04-2016,1,423,7.1,863.0,14.4,143.0,2.4,0.6,441
8792009665,27-04-2016,1,423,7.1,900.0,15.0,112.0,1.9,0.0,428
3977333714,15-04-2016,1,424,7.1,644.0,10.7,240.0,4.0,1.0,556
5577150313,27-04-2016,1,424,7.1,773.0,12.9,269.0,4.5,1.3,452
8378563200,14-04-2016,1,424,7.1,699.0,11.7,318.0,5.3,2.4,455
4702921684,12-04-2016,1,425,7.1,718.0,12.0,263.0,4.4,0.0,439
4702921684,21-04-2016,1,425,7.1,901.0,15.0,189.0,3.2,0.8,434
6962181067,22-04-2016,1,425,7.1,659.0,11.0,303.0,5.1,1.1,435
4388161847,16-04-2016,2,426,7.1,609.0,10.2,268.0,4.5,0.3,448
6962181067,17-04-2016,1,427,7.1,634.0,10.6,313.0,5.2,0.3,446
7086361926,09-05-2016,1,427,7.1,743.0,12.4,288.0,4.8,2.0,438
4388161847,28-04-2016,1,428,7.1,878.0,14.6,262.0,4.4,0.5,458
7086361926,22-04-2016,1,428,7.1,762.0,12.7,270.0,4.5,2.0,448
4445114986,12-04-2016,2,429,7.2,787.0,13.1,196.0,3.3,0.0,457
1503960366,24-04-2016,1,430,7.2,709.0,11.8,282.0,4.7,0.7,449
5577150313,11-05-2016,1,431,7.2,257.0,4.3,123.0,2.1,1.0,476
4702921684,27-04-2016,1,432,7.2,733.0,12.2,255.0,4.3,0.3,449
